,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,Sentiment_Class
4230,14.0,2700.0,4965.0,"in a word , "" awesome "" is how i would describe this camera .",word awesom describ camera,['camera'],1.0,{'awesom'},set(),[],1.0
4231,14.0,2700.0,4966.0,"i wo n't go into the details here , as the online sites ( stevesdigicams , dpreviews ) go into great depth in their reviews , but i am very pleased with the features , the speed , the picture quality , the flexibility , the automation , and the functional conveniences this camera offers .",wo not_go detail onlin site stevesdigicam dpreview great depth review veri pleas featur speed pictur qualiti flexibl autom function conveni camera offer,"['pictures quality', 'speed', 'reviews', 'quality', 'pictures', 'functionality', 'feature', 'camera']",1.0,"{'onlin', 'pleas', 'great'}",set(),"['functional conveniences', 'great reviews']",1.0
4232,14.0,2700.0,4967.0,"with the automatic settings , i really have n't taken a bad picture yet .",automat set realli not_taken bad pictur,"['settings', 'pictures']",1.0,"{'bad', 'automat'}",set(),[],1.0
4234,14.0,2700.0,4969.0,"i am absolutely in awe of this camera , canon put enormous quality into the g3 .",absolut awe camera canon enorm qualiti g3,"['quality', 'canon', 'camera']",1.0,{'enorm'},set(),"['awe canon', 'enormous quality']",1.0
4236,14.0,2701.0,4971.0,i bought my canon g3 about a month ago and i have to say i am very satisfied .,bought canon g3 month ago veri satisfi,"['months', 'canon']",1.0,{'satisfi'},set(),[],1.0
4237,14.0,2701.0,4972.0,i have taken hundreds of photos with it and i continue to be amazed by their quality .,taken hundr photo continu amaz qualiti,['quality'],1.0,{'amaz'},set(),[],1.0
4238,14.0,2701.0,4973.0,"the g3 is loaded with many useful features , and unlike many smaller digital cameras , it is easy to hold steady when using slower shutter speeds .",g3 load mani use featur unlik mani smaller digit camera easi hold steadi use slower shutter speed,"['use', 'speed', 'shutter', 'feature', 'camera']",1.0,"{'mani', 'slower', 'easi', 'smaller', 'digit', 'steadi'}",set(),['slower speeds'],1.0
4240,14.0,2701.0,4975.0,"the lens is visible in the viewfinder when the lens is set to the wide angle , but since i use the lcd most of the time , this is not really much of a bother to me .",len visibl viewfind len set wide angl sinc use lcd time not_real bother,"['lens viewfinder', 'viewfinder', 'use', 'time', 'settings', 'lens']",-1.0,"{'most', 'much', 'visibl', 'wide'}",set(),['wide angle'],-1.0
4242,14.0,2701.0,4977.0,"despite this minor disappointment , i highly recommend the canon g3 anyone who is serious about digital photography .",despit minor disappoint high recommend canon g3 anyon digit photographi,"['photography', 'canon']",1.0,"{'minor', 'serious', 'digit'}",set(),['digital photography'],1.0
4243,14.0,2702.0,4978.0,i have only had this camera for one full day and i have to say that it is wonderful .,onli camera day wonder,['camera'],1.0,"{'full', 'wonder'}",set(),[],1.0
4244,14.0,2702.0,4979.0,the photo quality is amazing and i know i 'm going to have fun with all the features .,photo qualiti amaz know m fun featur,"['quality', 'feature']",1.0,{'amaz'},set(),[],1.0
4247,14.0,2702.0,4982.0,"the reason i rated it a four is because of that darn diopter adjustment dial. its very small and hard to turn so you can 't get an accurate adjustment ( for those of you who do n't know what a diopter adjustment is , it is to adjust the focus of the viewfinder to your eyesight . )",reason rate becaus darn diopter adjust dial veri small hard turn t accur adjust not_know diopter adjust adjust focus viewfind eyesight,"['viewfinder', 'focus']",-1.0,"{'darn', 'small', 'accur', 'hard'}",set(),['accurate adjustment'],-1.0
4250,14.0,2703.0,4985.0,"1 ) slr like programming and exposure control gives you latitude to be creative , yet its progam and auto exposure settings provide excellent photos if you do n't want to bother with the settings .",slr like program exposur control latitud creativ progam auto exposur set provid excel photo not_want bother set,"['slr', 'settings', 'exposure', 'control']",1.0,"{'excel', 'creativ'}",set(),['creative settings'],1.0
4251,14.0,2703.0,4986.0,excellent range of metering options as well .,excel rang meter option,"['range', 'options']",1.0,{'excel'},set(),[],1.0
4252,14.0,2703.0,4987.0,it 's great to switch to spot metering and actually see it working on the lcd screen .,great switch spot meter actual work lcd screen,"['work', 'screen']",1.0,{'great'},set(),['great spot'],1.0
4253,14.0,2703.0,4988.0,2 ) 4mp is about right for the target market of this camera ( semi-serious amateur photographer ),4mp right target market camera semi amateur photograph,"['photographer', 'market', 'camera', '4mp']",1.0,"{'serious', 'amateur', 'right', '-'}",set(),['amateur photographer'],1.0
4254,14.0,2703.0,4989.0,3 ) 4x zoom is nice,4x zoom nice,['zoom'],1.0,{'nice'},set(),[],1.0
4256,14.0,2703.0,4991.0,5 ) its focusing system is also very flexible .,focus system veri flexibl,['focus'],1.0,{'flexibl'},set(),[],1.0
4257,14.0,2703.0,4992.0,"you can move the focus range to almost anywhere in the scene with the push of a button , and it has an on-screen manual focus mode that would be really helpful if shooting a scene that is tough to automatically focus .",focus rang anywher scene push button screen manual focus mode realli help shoot scene tough automat focus,"['screen', 'range', 'mode', 'focus', 'button']",1.0,"{'manual', 'tough', 'help'}",{'manual'},"['manual mode', 'helpful scene']",1.0
4259,14.0,2703.0,4994.0,"1 ) quite bulky ( it 's about the same size as my minolta vectis s-1 aps slr ) and uses a heavy battery , although not very solid as it is contructed mostly of plastic ( unlike canon 's elph line )",quit bulki size minolta vecti s-1 ap slr use heavi batteri not_veri solid contruct plastic unlik canon elph line,"['use', 'slr', 'canon', 'battery']",-1.0,"{'solid', 'same', 'heavi', 'elph', 'bulki'}",set(),"['heavy battery', 'solid plastic']",1.0
4260,14.0,2703.0,4995.0,2 ) not very ergonomical - you 'll find even for a point-and-shoot lens ),not_veri ergonom ll find point shoot len,"['point', 'lens']",-1.0,set(),set(),[],-1.0
4261,14.0,2703.0,4996.0,4 ) the viewfinder is borderuer lcd scoying .,viewfind borderu lcd scoy,['viewfinder'],-1.0,{'borderu'},set(),[],-1.0
4262,14.0,2704.0,4997.0,the camera has a wonderful set of features .,camera wonder set featur,"['settings', 'feature', 'camera']",1.0,{'wonder'},{'wonderful'},['wonderful set'],1.0
4263,14.0,2704.0,4998.0,the lcd screen pulls out and rotates in any direction for easy pictures .,lcd screen pull rotat ani direct easi pictur,"['screen', 'pictures']",1.0,{'easi'},set(),['easy pictures'],1.0
4265,14.0,2704.0,5000.0,the optical zoom works great and the 14x digital zoom is a very nice addition although pictures at the highest digital zoom are a little blurry .,optic zoom work great 14x digit zoom veri nice addit pictur highest digit zoom littl blurri,"['zoom', 'work', 'pictures']",1.0,"{'great', 'littl', 'highest', 'blurri', 'nice', 'digit', 'optic'}",{'optical'},[],1.0
4266,14.0,2704.0,5001.0,the highest optical zoom pictures are perfect .,highest optic zoom pictur perfect,"['zoom', 'pictures']",1.0,"{'highest', 'perfect', 'optic'}",set(),['optical pictures'],1.0
4267,14.0,2704.0,5002.0,"i have not yet seen any of the usual problems with digital pictures ( purple fringing , etc ) so i am very pleased .",not_yet seen ani usual problem digit pictur purpl fring etc veri pleas,"['problem', 'pictures']",1.0,"{'usual', 'digit', 'pleas', 'purpl'}",set(),[],1.0
4268,14.0,2704.0,5003.0,"the canon computer software used to download , sort , upload and manage your digital pictures on the computer is very nice and very easy to use .",canon comput softwar use download sort upload manag digit pictur comput veri nice veri easi use,"['canon pictures', 'use', 'software', 'pictures', 'canon']",1.0,"{'easi', 'nice', 'digit'}",set(),['digital pictures'],1.0
4269,14.0,2704.0,5004.0,the only two minor issues i have with the camera are the lens cap ( it is not very snug and can come off too easily ) and the lens itself ( it partially obstructs the view through the viewfinder but not views through the lcd ) .,onli minor issu camera len cap not_veri snug come easili len partial obstruct view viewfind not_view lcd,"['lens viewfinder', 'viewfinder', 'view', 'lens', 'camera']",-1.0,"{'snug', 'minor', 'not_view'}",set(),"['not_views viewfinder', 'minor issues']",-1.0
4270,14.0,2704.0,5005.0,the menus are easy to navigate and the buttons are easy to use .,menus easi navig button easi use,"['use', 'button']",1.0,{'easi'},set(),[],1.0
4271,14.0,2704.0,5006.0,it is a fantastic camera and well worth the price .,fantast camera worth price,['camera'],1.0,"{'fantast', 'worth'}",{'fantastic'},[],1.0
4272,14.0,2705.0,5007.0,recent price drops have made the g3 the best bargain in digital cameras currently available .,recent price drop g3 best bargain digit camera current avail,['camera'],1.0,"{'best', 'digit', 'avail', 'recent'}",set(),[],1.0
4273,14.0,2705.0,5008.0,advanced photobugs will find more creative control than imaginable .,advanc photobug find creativ control imagin,['control'],1.0,"{'imagin', 'advanc', 'creativ'}",{'creative'},[],1.0
4274,14.0,2705.0,5009.0,newbies will find the full auto setting will give them perfect pictures right out of the box .,newbi find auto set perfect pictur right box,"['settings', 'pictures']",1.0,"{'full', 'perfect'}",set(),[],1.0
4275,14.0,2705.0,5010.0,4 megapixels is enough for anybody and the photo quality is awesome .,megapixel anybodi photo qualiti awesom,"['quality', 'megapixel']",1.0,"{'enough', 'awesom'}",set(),[],1.0
4278,14.0,2705.0,5013.0,those used to 35mm cameras will find the g3 very comfortable and friendly to use .,use mm camera find g3 veri comfort friend use,"['use', 'camera']",1.0,"{'comfort', 'friend'}",set(),[],1.0
4280,14.0,2705.0,5015.0,the extended zoom range and faster lense put it at the top of it 's class .,extend zoom rang faster lens class,"['zoom', 'range']",1.0,"{'extend', 'faster'}",set(),['faster lense'],1.0
4282,14.0,2706.0,5017.0,i recommend unreservedly the powershot g3 to any potential buyer looking for a first-class digital camera at a reasonable price - there is no better camera out there - period !,recommend unreserv powershot g3 ani potenti buyer look class digit camera reason price not_bett camera period,"['powershot', 'camera']",1.0,"{'potenti', 'digit', 'first', 'reason'}",{'digital'},[],1.0
4283,14.0,2706.0,5018.0,"it gives great pictures , the controls are easy to use , the battery lasts forever on one single charge , the software is very user-friendly and it is beautiful in it chrome casing .",great pictur control easi use batteri forev singl charg softwar veri user friend beauti chrome case,"['pictures battery', 'use', 'software', 'pictures', 'control', 'battery']",1.0,"{'beauti', 'great', 'friend', 'easi', 'singl'}",set(),[],1.0
4284,14.0,2706.0,5019.0,i began taking pics as soon as i got this camera and am amazed at the quality of photos i have took simply by using the auto mode .,began pic soon got camera amaz qualiti photo took simpli use auto mode,"['use', 'quality', 'pics', 'mode', 'camera']",1.0,{'amaz'},set(),['amazed photos'],1.0
4295,14.0,2707.0,5030.0,"this camera has canon 's great colorimetry , plus what you see in the lcd is what you get .",camera canon great colorimetri plus lcd,"['canon', 'camera']",1.0,{'great'},set(),['great colorimetry'],1.0
4296,14.0,2707.0,5031.0,the prints are beautiful !,print beauti,[],1.0,{'beauti'},set(),[],1.0
4299,14.0,2707.0,5034.0,"although canon 's batteries are proprietary , they last a really long time , recharge fairly quickly in the camera , plus if you want ' more power ' , you can even find a knockoff charger and spare batteries right here on amazon .",canon batteri proprietari realli long time recharg fair quick camera plus want power find knockoff charger spare batteri right amazon,"['time', 'canon', 'camera', 'battery', 'amazon']",1.0,"{'proprietari', 'more', 'spare', 'long'}",{'long'},"['spare batteries', 'proprietary recharge', 'long time']",1.0
4300,14.0,2708.0,5035.0,this is a great camera for you !,great camera,['camera'],1.0,{'great'},{'great'},[],1.0
4301,14.0,2708.0,5036.0,"the canon g3 gives tons of control for photo buffs but still has an "" auto "" mode that makes it very easy for the novice to use .",canon g3 ton control photo buff auto mode veri easi novic use,"['use', 'mode', 'control', 'canon']",1.0,{'easi'},set(),['easy use'],1.0
4303,14.0,2708.0,5038.0,"i love having the option to manually control the f-stop , shutter speed and even focus .",love option manual control f stop shutter speed focus,"['speed', 'shutter', 'options', 'focus', 'control']",1.0,set(),set(),[],1.0
4304,14.0,2708.0,5039.0,"i was able to take great photos of the 4th of july fire works , and got some amazing shots of the kids playing with sparklers .",abl great photo 4th juli fire work got amaz shot kid play sparkler,"['work', 'shots']",1.0,"{'4th', 'amaz', 'abl', 'great'}",set(),[],1.0
4306,14.0,2708.0,5041.0,"but if you 've used a slr 35mm camera , the controls are very intuitive !",ve use slr mm camera control veri intuit,"['use', 'slr', 'control', 'camera']",1.0,{'intuit'},set(),[],1.0
4308,14.0,2708.0,5043.0,"with a quick spin of the dial you can select shutter priority ( for high speed subjects ) , aperture priority ( for focal length ) or full program mode where the camera selects both for ideal photo quality .",quick spin dial select shutter prioriti high speed subject apertur prioriti focal length program mode camera select ideal photo qualiti,"['mode shutter', 'speed', 'shutter', 'quality', 'mode', 'camera']",1.0,"{'ideal', 'focal', 'quick', 'full', 'high'}","{'full', 'high'}","['ideal quality', 'focal length']",1.0
4309,14.0,2708.0,5044.0,the manual mode is easy to use with fast access for the selection of shutter speed and aperture without having to fumble through menu options .,manual mode easi use fast access select shutter speed apertur fumbl menu option,"['mode shutter', 'use', 'speed', 'shutter', 'options', 'mode']",1.0,"{'easi', 'fast', 'manual'}",{'manual'},"['fast access', 'easy mode']",1.0
4311,14.0,2708.0,5046.0,this camera also has a great feel and weight to it .,camera great feel weight,['camera'],1.0,{'great'},set(),['great feel'],1.0
4312,14.0,2708.0,5047.0,"you feel like you are holding something of substance , not some cheap plastic toy .",feel like hold someth substanc not_som cheap plastic toy,[],1.0,{'cheap'},set(),[],1.0
4313,14.0,2708.0,5048.0,"the more i work with it , the more i love it !",work love,['work'],1.0,set(),set(),[],1.0
4315,14.0,2708.0,5050.0,i did n't think i would find this quality and ease of use for under $ 1500 - i 'm thrilled with my purchase !,not_think find qualiti eas use $ m thrill purchas,"['use', 'quality']",1.0,{'thrill'},set(),[],1.0
4316,14.0,2709.0,5051.0,"this is my first digital camera , and i am very pleased with it .",digit camera veri pleas,['camera'],1.0,"{'digit', 'pleas', 'first'}","{'first', 'digital'}",[],1.0
4318,14.0,2709.0,5053.0,"seriously , this thing has everything that a pro or expert amateur could want .",thing everyth pro expert amateur want,['thing'],1.0,"{'expert', 'pro'}",set(),['pro expert'],1.0
4319,14.0,2709.0,5054.0,"but at the same time , it takes wonderful pictures very easily in "" auto "" mode , so that even an average joe like me can use it !",time wonder pictur veri easili auto mode averag joe like use,"['pictures time', 'use', 'time', 'pictures', 'mode']",1.0,"{'wonder', 'averag', 'same'}",{'same'},['wonderful pictures'],1.0
4320,14.0,2709.0,5055.0,four megapixels is great .,megapixel great,['megapixel'],1.0,{'great'},set(),[],1.0
4325,14.0,2709.0,5060.0,it is a very amazing product .,veri amaz product,[],1.0,{'amaz'},set(),[],1.0
4326,14.0,2709.0,5061.0,i highly recommend it .,high recommend,[],1.0,set(),set(),[],1.0
4327,14.0,2710.0,5062.0,just received this camera two days ago and already love the features it has .,receiv camera day ago alreadi love featur,"['feature', 'camera']",1.0,set(),set(),[],1.0
4328,14.0,2710.0,5063.0,takes excellent photos .,excel photo,[],1.0,{'excel'},set(),[],1.0
4329,14.0,2710.0,5064.0,night mode is clear as day .,night mode clear day,['mode'],1.0,{'clear'},set(),['clear day'],1.0
4330,14.0,2710.0,5065.0,"i have not played with all the features yet , but the camera is easy to use once you get used to it .",not_play featur camera easi use onc use,"['use', 'feature', 'camera']",1.0,{'easi'},set(),[],1.0
4331,14.0,2710.0,5066.0,the only drawback is the viewfinder is slightly blocked by the lens .,onli drawback viewfind slight block len,"['lens viewfinder', 'viewfinder', 'lens']",-1.0,{'onli'},set(),[],-1.0
4333,14.0,2710.0,5068.0,overall it is the best camera on the market .,overal best camera market,"['market', 'camera']",1.0,{'best'},{'best'},['best market'],1.0
4338,14.0,2712.0,5073.0,"a ) the picture quality ( color and sharpness of focusing ) are so great , it completely eliminated my doubt about digital imaging --- how could one eat rice one grain at a time : - ) )",pictur qualiti color sharp focus great complet elimin doubt digit imag eat rice grain time,"['quality time', 'pictures time', 'pictures quality', 'quality image', 'time', 'quality', 'pictures', 'image', 'focus', 'color']",1.0,"{'digit', 'great'}",set(),['digital imaging'],1.0
4339,14.0,2712.0,5074.0,"b ) the lens cover is surely loose , i already accidently finger-printed the len a few times , and au lens tigt and cause potential damage .",b len cover sure loos alreadi accid finger print len time au len tigt caus potenti damag,"['time', 'lens']",-1.0,"{'potenti', 'loos', 'few'}",set(),['loose cover'],-1.0
4341,14.0,2712.0,5076.0,"the zooming lever is shaky , i hope it does not operate mechanically , otherwise you 'll feel uneasy .",zoom lever shaki hope doe not_oper mechan otherwis ll feel uneasi,['zoom'],-1.0,"{'uneasi', 'shaki'}",set(),[],-1.0
4344,14.0,2713.0,5079.0,i love this camera .,love camera,['camera'],1.0,set(),set(),[],1.0
4346,14.0,2713.0,5081.0,took hundreds of pictures and they were great .,took hundr pictur great,['pictures'],1.0,{'great'},set(),[],1.0
4347,14.0,2713.0,5082.0,"great colors , pictures and white balance .",great color pictur white balanc,"['pictures', 'color']",1.0,"{'great', 'white'}",set(),[],1.0
4348,14.0,2713.0,5083.0,has 4x optical zoom which is higher than any other in the same price range .,4x optic zoom higher ani price rang,"['zoom', 'range']",1.0,"{'higher', 'other', 'same', 'optic'}",{'optical'},['higher price'],1.0
4350,14.0,2714.0,5085.0,"maybe it is my lack of experience , but i found shots with this camera very disappointing .",mayb lack experi found shot camera veri disappoint,"['shots', 'camera']",-1.0,{'disappoint'},set(),[],1.0
4351,14.0,2714.0,5086.0,it was ( i sold it after a few months ) too expensive for the shots that i got .,sold month expens shot got,"['shots', 'months']",-1.0,"{'expens', 'few'}",set(),[],1.0
4352,14.0,2714.0,5087.0,"sure it had all the features , but when i tried to shoot a girl 's basketball game it just wan't up to the task .",sure featur tri shoot girl basketbal game wan't task,['feature'],-1.0,{'sure'},set(),[],1.0
4356,14.0,2714.0,5091.0,i found that low light situations combined with any sort of action left this camera in the dust .,found low light situat combin ani sort action left camera dust,"['light', 'camera']",-1.0,{'low'},set(),['light situations'],1.0
4360,14.0,2714.0,5095.0,the grain was terrible .,grain terribl,[],-1.0,{'terribl'},set(),[],1.0
4362,14.0,2714.0,5097.0,"well flash photos are never great , and there was still a lot of noise .",flash photo not_great lot nois,['lot'],-1.0,"{'not_great', 'flash'}",set(),[],1.0
4363,14.0,2714.0,5098.0,"when i took outdoor photos with plenty of light and the objects were n't moving , the photos were awesome .",took outdoor photo plenti light object not_mov photo awesom,['light'],1.0,"{'outdoor', 'awesom'}",set(),['light objects'],1.0
4364,14.0,2714.0,5099.0,the camera was a marvel .,camera marvel,['camera'],1.0,set(),set(),[],1.0
4371,14.0,2714.0,5106.0,it is versatile and seems to be one of the best .,versatil best,[],1.0,"{'best', 'versatil'}",set(),[],1.0
4380,14.0,2715.0,5115.0,"i chose the g3 because of its reputation for very high quality , clean images .",chose g3 becaus reput veri high qualiti clean imag,"['quality image', 'quality', 'image']",1.0,"{'high', 'clean'}",set(),[],1.0
4381,14.0,2715.0,5116.0,"the two limitations i knew i would have to deal with are the very long lag time before it focus-locks ( even in bright light ) , and the unsatisfactory light quality of the built-in flash .",limit knew deal veri long lag time befor focus lock bright light unsatisfactori light qualiti built flash,"['quality time', 'time', 'quality', 'lock', 'light', 'focus', 'deal']",-1.0,"{'bright', 'unsatisfactori', 'lag', 'long'}","{'bright', 'lag', 'long'}","['light quality', 'lag time', 'long time']",1.0
4384,14.0,2715.0,5119.0,what makes the focus-lock lag time something i can live with is the extreme depth of field obtainable with these point and shoot digicams at f8 .,focus lock lag time someth live extrem depth field obtain point shoot digicam f8,"['time', 'point', 'lock', 'focus', 'digicams']",1.0,"{'obtain', 'extrem'}",set(),['live field'],-1.0
4387,14.0,2715.0,5122.0,"relative to what i can easily achieve with external flash on my nikon slr , the internal flash on the g3 produces harsh , flat images with ugly hot spots .",relat easili achiev extern flash nikon slr intern flash g3 produc harsh flat imag ugli hot spot,"['slr', 'nikon', 'image']",-1.0,"{'harsh', 'extern', 'ugli', 'hot', 'intern', 'flat', 'relat'}",set(),[],1.0
4388,14.0,2715.0,5123.0,"fortunately , the g3 has a hot shoe that can take an external flash , and fortunately for me , i already owned a one of the highest quality external flashes that money can buy : the metz 60 ct-4 .",fortun g3 hot shoe extern flash fortun alreadi highest qualiti extern flash money buy metz ct-4,"['shoe', 'quality']",1.0,"{'highest', 'extern', 'hot', 'metz'}",{'hot'},['external flash'],1.0
4392,14.0,2715.0,5127.0,"contrary to what ive read elsewhere , the g3 does sync at 1/250 of a second with third-party flashes , just as it does with the dedicated flashes from canon .",contrari ve read elsewher g3 doe sync 1/250 second parti flash doe dedic flash canon,['canon'],1.0,"{'dedic', 'third', 'second', 'contrari'}",set(),['dedicated flashes'],1.0
4402,14.0,2715.0,5137.0,"now there is one more complaint i have about the g3 and that is the software that comes with it for processing raw images ( i only shoot in raw image mode and the first thing i did was replace the 32 mbyte cf with a 512 mbyte cf , which gives me 130 raw images , as opposed to 7 !",complaint g3 softwar come process raw imag onli shoot raw imag mode thing replac mbyte cf mbyte cf raw imag oppos,"['thing', 'software', 'mode', 'image']",-1.0,"{'raw', 'more', 'first'}",{'first'},['raw image'],1.0
4403,14.0,2715.0,5138.0,"the canon software for raw images does not present you with a raw image at all , but the raw image after it has been processed by all the image-affecting settings in the camera .",canon softwar raw imag doe not_pres raw imag raw imag process imag affect set camera,"['software', 'settings', 'image', 'canon', 'camera']",-1.0,{'raw'},set(),"['raw images', 'raw image']",1.0
4408,14.0,2715.0,5143.0,what this plug-in reveals is the truly stunning quality of the raw g3 hardware .,plug reveal truli stun qualiti raw g3 hardwar,['quality'],1.0,"{'raw', 'stun'}",set(),[],1.0
4409,14.0,2715.0,5144.0,"without any tweaking at all , if the exposure is accurate , the colors are as realistic as ive ever seen produced by film , and this is a raw image !",ani tweak exposur accur color realist ve seen produc film raw imag,"['image', 'film', 'exposure', 'color']",1.0,"{'raw', 'realist', 'accur'}",set(),['raw image'],1.0
4410,14.0,2715.0,5145.0,the adobe camera raw plug-in shows once again that hardware is miles ahead of software .,adob camera raw plug onc hardwar mile ahead softwar,"['software', 'camera']",1.0,{'raw'},set(),['raw plug'],1.0
4411,14.0,2715.0,5146.0,what the g3 raw image software gives you is a fantasy world designed to please the uncritical .,g3 raw imag softwar fantasi world design pleas uncrit,"['software', 'image']",-1.0,"{'raw', 'uncrit'}",set(),[],1.0
4413,14.0,2715.0,5148.0,but at least youre starting with the most photorealistic images ive ever seen from a camera .,start photorealist imag ve seen camera,"['image', 'camera']",1.0,"{'photorealist', 'least'}",set(),['photorealistic images'],1.0
4414,14.0,2715.0,5149.0,"i am stunned and amazed at the quality of the raw images i am getting from this g3 ( in conjunction with my professional flash system ) , and can easily put up with the cameras limitations , because ive never seen anything better within its resolution limits .",stun amaz qualiti raw imag g3 conjunct profession flash system easili camera limit becaus ve not_seen anyth better resolut limit,"['quality image', 'resolution', 'quality', 'image', 'camera']",1.0,"{'stun', 'raw', 'amaz', 'better', 'profession'}",set(),[],1.0
4415,14.0,2716.0,5150.0,"i 've had this for 3 months now , and i am pleased with my decision .",ve month pleas decis,['months'],1.0,{'pleas'},set(),[],1.0
4416,14.0,2716.0,5151.0,this is the perfect camera for a photo hobbiest who wants to have easy point and shoot ability as well .,perfect camera photo hobbiest want easi point shoot abil,"['point', 'camera', 'ability']",1.0,"{'easi', 'hobbiest', 'perfect'}","{'easy', 'perfect'}",['perfect photo'],1.0
4418,14.0,2716.0,5153.0,"battery life , the drawback to most digital cameras , to quote k. reeves .",batteri life drawback digit camera quot k. reev,"['camera', 'battery']",1.0,"{'most', 'digit'}",set(),[],1.0
4420,14.0,2716.0,5155.0,"manual functionality is excellent , downloading pictures is quick and a breeze , and the quality is astounding .",manual function excel download pictur quick breez qualiti astound,"['pictures quality', 'quality', 'pictures', 'functionality']",1.0,"{'quick', 'astound', 'manual', 'excel'}",set(),[],1.0
4422,14.0,2716.0,5157.0,"not perfect ( yes , the viewfinder can get obstructed in instances.but the lcd works well enough in those instances ) , not the cheapest 4.0 mp , but the best 4.0 mp .",not_perfect yes viewfind obstruct instances.but lcd work instanc not_th cheapest 4.0 mp best 4.0 mp,"['work', 'viewfinder']",1.0,"{'cheapest', 'best'}",set(),[],-1.0
4428,14.0,2717.0,5163.0,the service from the supplier was exceptional .,servic supplier,[],1.0,{'except'},set(),[],1.0
4430,14.0,2717.0,5165.0,"having used it for more than a month , i can say that it consistently produces topnotch photos .",use month consist produc topnotch photo,"['use', 'months']",1.0,"{'topnotch', 'more'}",set(),['topnotch photos'],1.0
4433,14.0,2717.0,5168.0,"by cocking the shutter to the halfway position and getting the settings ready to shoot , i was able to produce excellent stopaction photos -- contrary to what other reviewers experienced .",cock shutter halfway posit set readi shoot abl produc excel stopact photo contrari review experienc,"['shutter', 'settings', 'reviews']",1.0,"{'excel', 'halfway', 'contrari', 'abl', 'readi', 'other'}",set(),[],1.0
